Heb	Eng
אב	father
אבות	fathers
אבי	father of ...
אב	father of ...
אבות	fathers of ...
אבי	my father
אבינו	our father
אביך	your m. sg. father
אביך	your f. sg. father
אביכם	your m. pl. father
אביכן	your f. pl. father
אביו	his / its father
אביה	her / its father
אביהם	their m. father
אביהן	their f. father
אבותינו	our fathers
אבותיך	your m. sg. fathers
אבותיכם	your m. pl. fathers
אבותיכן	your f. pl. fathers
אבותיו	his / its fathers
אבותיה	her / its fathers
אבותיהם	their m. fathers
אבותיהן	their f. fathers
אבא	dad
אב	bud
אב	bud of ...
אביב	spring
אביבים	springs
אביב	spring of ...
אביבי	springs of ...
אביבי	my spring
אביבנו	our spring
אביבך	your m. sg. spring
אביבך	your f. sg. spring
אביבכם	your m. pl. spring
אביבכן	your f. pl. spring
אביבו	his / its spring
אביבה	her / its spring
אביבם	their m. spring
אביבן	their f. spring
אביבינו	our springs
אביביך	your m. sg. springs
אביביכם	your m. pl. springs
אביביכן	your f. pl. springs
אביביו	his / its springs
אביביה	her / its springs
אביביהם	their m. springs
אביביהן	their f. springs
אובד	I am / you m. sg. are / he / it is lost
אובדת	I am / you f. sg. are / she / it is lost
אובדים	we / you m. pl. / they m. are lost
אובדות	we / you f. pl. / they f. are lost
אבדתי	I was lost
אבדנו	we were lost
אבדת	you m. sg. were lost
אבדת	you f. sg. were lost
אבדתם	you m. pl. were lost
אבדתם	you m. pl. were lost
אבדתן	you f. pl. were lost
אבדתן	you f. pl. were lost
אבד	he / it was lost
אבדה	she / it was lost
אבדו	they were lost
נאבד	we will be lost
תאבד	you m. sg. will be lost
תאבדי	you f. sg. will be lost
תאבדו	you m. pl. will be lost
תאבדנה	you f. pl. will be lost
תאבדו	you f. pl. will be lost
יאבד	he / it will be lost
תאבד	she / it will be lost
יאבדו	they m. will be lost
תאבדנה	they f. will be lost
יאבדו	they f. will be lost
אבדי!‏	(to a woman) be lost!
אבדו!‏	(to men) be lost!
נאבד	I am / you m. sg. are / he / it is lost
נאבדת	I am / you f. sg. are / she / it is lost
נאבדים	we / you m. pl. / they m. are lost
נאבדות	we / you f. pl. / they f. are lost
נאבדתי	I was lost
נאבדנו	we were lost
נאבדת	you m. sg. were lost
נאבדת	you f. sg. were lost
נאבדתם	you m. pl. were lost
נאבדתם	you m. pl. were lost
נאבדתן	you f. pl. were lost
נאבדתן	you f. pl. were lost
נאבד	he / it was lost
נאבדה	she / it was lost
נאבדו	they were lost
מתאבד	I / you m. sg. / he / it commit(s) suicide
מתאבדת	I / you f. sg. / she / it commit(s) suicide
מתאבדים	we / you m. pl. / they m. commit suicide
מתאבדות	we / you f. pl. / they f. commit suicide
התאבדתי	I committed suicide
התאבדנו	we committed suicide
התאבדת	you m. sg. committed suicide
התאבדת	you f. sg. committed suicide
התאבדתם	you m. pl. committed suicide
התאבדתם	you m. pl. committed suicide
התאבדתן	you f. pl. committed suicide
התאבדתן	you f. pl. committed suicide
התאבד	he / it committed suicide
התאבדה	she / it committed suicide
התאבדו	they committed suicide
אתאבד	I will commit suicide
נתאבד	we will commit suicide
תתאבד	you m. sg. will commit suicide
תתאבדי	you f. sg. will commit suicide
תתאבדו	you m. pl. will commit suicide
תתאבדנה	you f. pl. will commit suicide
תתאבדו	you f. pl. will commit suicide
יתאבד	he / it will commit suicide
תתאבד	she / it will commit suicide
יתאבדו	they m. will commit suicide
תתאבדנה	they f. will commit suicide
יתאבדו	they f. will commit suicide
התאבד!‏	(to a man) commit suicide!
התאבדי!‏	(to a woman) commit suicide!
התאבדו!‏	(to men) commit suicide!
התאבדנה!‏	(to women) commit suicide!
התאבדו!‏	(to women) commit suicide!
להתאבד	to commit suicide
התאבדות	suicide
התאבדות	suicide of ...
התאבדותי	my suicide
התאבדותנו	our suicide
התאבדותך	your m. sg. suicide
התאבדותך	your f. sg. suicide
התאבדותכם	your m. pl. suicide
התאבדותכן	your f. pl. suicide
התאבדותו	his / its suicide
התאבדותה	her / its suicide
התאבדותם	their m. suicide
התאבדותן	their f. suicide
מאביד	I / you m. sg. / he / it destroy(s)
מאבידה	I / you f. sg. / she / it destroy(s)
מאבידים	we / you m. pl. / they m. destroy
מאבידות	we / you f. pl. / they f. destroy
האבדתי	I destroyed
האבדנו	we destroyed
האבדת	you m. sg. destroyed
האבדת	you f. sg. destroyed
האבדתם	you m. pl. destroyed
האבדתם	you m. pl. destroyed
האבדתן	you f. pl. destroyed
האבדתן	you f. pl. destroyed
האביד	he / it destroyed
האבידה	she / it destroyed
האבידו	they destroyed
אאביד	I will destroy
נאביד	we will destroy
תאביד	you m. sg. will destroy
תאבידי	you f. sg. will destroy
תאבידו	you m. pl. will destroy
תאבדנה	you f. pl. will destroy
תאבידו	you f. pl. will destroy
יאביד	he / it will destroy
תאביד	she / it will destroy
יאבידו	they m. will destroy
תאבדנה	they f. will destroy
יאבידו	they f. will destroy
האבד!‏	(to a man) destroy!
האבידי!‏	(to a woman) destroy!
האבידו!‏	(to men) destroy!
האבדנה!‏	(to women) destroy!
האבידו!‏	(to women) destroy!
להאביד	to destroy
אבדה	loss
אבדות	losses
אבדת	loss of ...
אבדות	losses of ...
אבדתי	my loss
אבדתנו	our loss
אבדתך	your m. sg. loss
אבדתך	your f. sg. loss
אבדתכם	your m. pl. loss
אבדתכן	your f. pl. loss
אבדתו	his / its loss
אבדתה	her / its loss
אבדתם	their m. loss
אבדתן	their f. loss
אבדותינו	our losses
אבדותיך	your m. sg. losses
אבדותיכם	your m. pl. losses
אבדותיכן	your f. pl. losses
אבדותיו	his / its losses
אבדותיה	her / its losses
אבדותיהם	their m. losses
אבדותיהן	their f. losses
אבוד	lost; hopeless
אבודה	lost; hopeless
אבודים	lost; hopeless
אבודות	lost; hopeless
מאבד	I / you m. sg. / he / it lose(s)
מאבדת	I / you f. sg. / she / it lose(s)
מאבדים	we / you m. pl. / they m. lose
מאבדות	we / you f. pl. / they f. lose
אאבד	I will lose
נאבד	we will lose
תאבד	you m. sg. will lose
תאבדי	you f. sg. will lose
תאבדו	you m. pl. will lose
תאבדנה	you f. pl. will lose
תאבדו	you f. pl. will lose
יאבד	he / it will lose
תאבד	she / it will lose
יאבדו	they m. will lose
תאבדנה	they f. will lose
יאבדו	they f. will lose
אבד!‏	(to a man) lose!
אבדי!‏	(to a woman) lose!
אבדו!‏	(to men) lose!
אבדנה!‏	(to women) lose!
אבדו!‏	(to women) lose!
לאבד	to lose
אבדון	destruction
אבוקדו	avocado
אבוקדואים	avocadoes
אבוקדו	avocado of ...
אבוקדואי	avocadoes of ...
מאבזר	I / you m. sg. / he / it equip(s)
מאבזרת	I / you f. sg. / she / it equip(s)
מאבזרים	we / you m. pl. / they m. equip
מאבזרות	we / you f. pl. / they f. equip
אבזרתי	I equipped
אבזרנו	we equipped
אבזרת	you m. sg. equipped
אבזרת	you f. sg. equipped
אבזרתם	you m. pl. equipped
אבזרתם	you m. pl. equipped
אבזרתן	you f. pl. equipped
אבזרתן	you f. pl. equipped
אבזר	he / it equipped
אבזרה	she / it equipped
אבזרו	they equipped
אאבזר	I will equip
נאבזר	we will equip
תאבזר	you m. sg. will equip
תאבזרי	you f. sg. will equip
תאבזרו	you m. pl. will equip
תאבזרנה	you f. pl. will equip
תאבזרו	you f. pl. will equip
יאבזר	he / it will equip
תאבזר	she / it will equip
יאבזרו	they m. will equip
תאבזרנה	they f. will equip
יאבזרו	they f. will equip
אבזר!‏	(to a man) equip!
אבזרי!‏	(to a woman) equip!
אבזרו!‏	(to men) equip!
אבזרנה!‏	(to women) equip!
אבזרו!‏	(to women) equip!
לאבזר	to equip
אבחון	check
אבחון	check of ...
אבחוני	my check
אבחוננו	our check
אבחונך	your m. sg. check
אבחונך	your f. sg. check
אבחונכם	your m. pl. check
אבחונכן	your f. pl. check
אבחונו	his / its check
אבחונה	her / its check
אבחונם	their m. check
אבחונן	their f. check
מאבחן	I / you m. sg. / he / it diagnose(s)
מאבחנת	I / you f. sg. / she / it diagnose(s)
מאבחנים	we / you m. pl. / they m. diagnose
מאבחנות	we / you f. pl. / they f. diagnose
אבחנתי	I diagnosed
אבחנו	we diagnosed
אבחנת	you m. sg. diagnosed
אבחנת	you f. sg. diagnosed
אבחנתם	you m. pl. diagnosed
אבחנתם	you m. pl. diagnosed
אבחנתן	you f. pl. diagnosed
אבחנתן	you f. pl. diagnosed
אבחן	he / it diagnosed
אבחנה	she / it diagnosed
אבחנו	they diagnosed
אאבחן	I will diagnose
נאבחן	we will diagnose
תאבחן	you m. sg. will diagnose
תאבחני	you f. sg. will diagnose
תאבחנו	you m. pl. will diagnose
תאבחנה	you f. pl. will diagnose
תאבחנו	you f. pl. will diagnose
יאבחן	he / it will diagnose
תאבחן	she / it will diagnose
יאבחנו	they m. will diagnose
תאבחנה	they f. will diagnose
יאבחנו	they f. will diagnose
אבחן!‏	(to a man) diagnose!
אבחני!‏	(to a woman) diagnose!
אבחנו!‏	(to men) diagnose!
אבחנה!‏	(to women) diagnose!
אבחנו!‏	(to women) diagnose!
לאבחן	to diagnose
מאבטח	I / you m. sg. / he / it secure(s)
מאבטחת	I / you f. sg. / she / it secure(s)
מאבטחים	we / you m. pl. / they m. secure
מאבטחות	we / you f. pl. / they f. secure
אבטחתי	I secured
אבטחנו	we secured
אבטחת	you m. sg. secured
אבטחת	you f. sg. secured
אבטחתם	you m. pl. secured
אבטחתם	you m. pl. secured
אבטחתן	you f. pl. secured
אבטחתן	you f. pl. secured
אבטח	he / it secured
אבטח	he / it secured
אבטחה	she / it secured
אבטחו	they secured
אאבטח	I will secure
אאבטח	I will secure
נאבטח	we will secure
נאבטח	we will secure
תאבטח	you m. sg. will secure
תאבטח	you m. sg. will secure
תאבטחי	you f. sg. will secure
תאבטחו	you m. pl. will secure
תאבטחנה	you f. pl. will secure
תאבטחו	you f. pl. will secure
יאבטח	he / it will secure
יאבטח	he / it will secure
תאבטח	she / it will secure
תאבטח	she / it will secure
יאבטחו	they m. will secure
תאבטחנה	they f. will secure
יאבטחו	they f. will secure
אבטח!‏	(to a man) secure!
אבטח!‏	(to a man) secure!
אבטחי!‏	(to a woman) secure!
אבטחו!‏	(to men) secure!
אבטחנה!‏	(to women) secure!
אבטחו!‏	(to women) secure!
לאבטח	to secure
אבטוח	protection
אבטוחים	protections
אבטוח	protection of ...
אבטוחי	protections of ...
אבטוחי	my protection
אבטוחנו	our protection
אבטוחך	your m. sg. protection
אבטוחך	your f. sg. protection
אבטוחכם	your m. pl. protection
אבטוחכן	your f. pl. protection
אבטוחו	his / its protection
אבטוחה	her / its protection
אבטוחם	their m. protection
אבטוחן	their f. protection
אבטוחינו	our protections
אבטוחיך	your m. sg. protections
אבטוחיכם	your m. pl. protections
אבטוחיכן	your f. pl. protections
אבטוחיו	his / its protections
אבטוחיה	her / its protections
אבטוחיהם	their m. protections
אבטוחיהן	their f. protections
אבטיח	watermelon
אבטיחים	watermelons
אבטיח	watermelon of ...
אבטיחי	watermelons of ...
אבטיחי	my watermelon
אבטיחנו	our watermelon
אבטיחך	your m. sg. watermelon
אבטיחך	your f. sg. watermelon
אבטיחכם	your m. pl. watermelon
אבטיחכן	your f. pl. watermelon
אבטיחו	his / its watermelon
אבטיחה	her / its watermelon
אבטיחם	their m. watermelon
אבטיחן	their f. watermelon
אבטיחינו	our watermelons
אבטיחיך	your m. sg. watermelons
